,game_id,attendance,venue_id,venue_time_zone,home_time_zone,away_time_zone,home_points,away_points,home_rank,away_rank,home_field_goal_att,away_field_goal_att,home_field_goal_made,away_field_goal_made,home_field_goal_pct,away_field_goal_pct,home_3pt_att,away_3pt_att,home_3pt_made,away_3pt_made,home_3pt_pct,away_3pt_pct,home_free_throw_att,away_free_throw_att,home_free_throw_made,away_free_throw_made,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_turnovers,away_turnovers,home_fouls,away_fouls
294,fd701883-d1d8-461c-afdf-bc9f1dcdc774,1111.0,8abe4058-b5c2-4ce0-9926-97ac88f6efcc,US/Mountain,US/Mountain,,97,56,0.0,0.0,67.0,58.0,34.0,18.0,50.7,31.0,35.0,16.0,15.0,4.0,42.9,25.0,15.0,25.0,14.0,16.0,93.3,64.0,41.0,40.0,17.0,7.0,11.0,9.0,9.0,0.0,12.0,19.0,21.0,16.0
295,4e81bffa-8ecb-4c92-bfd9-da6d770d9b49,1152.0,8b5809f9-829a-4747-aa15-389ac66c4ec8,US/Pacific,US/Pacific,US/Eastern,78,62,0.0,0.0,55.0,63.0,24.0,25.0,43.6,39.7,22.0,27.0,9.0,6.0,40.9,22.2,28.0,9.0,21.0,6.0,75.0,66.7,44.0,29.0,16.0,8.0,6.0,9.0,2.0,0.0,15.0,15.0,16.0,24.0
296,561295f9-e11a-4416-a087-6e3c5eb31ffc,847.0,b2eac63f-d4cc-4666-a0ec-70fd763f0685,US/Pacific,US/Pacific,US/Pacific,60,48,0.0,0.0,53.0,46.0,18.0,17.0,34.0,37.0,26.0,9.0,4.0,3.0,15.4,33.3,29.0,20.0,20.0,11.0,69.0,55.0,38.0,37.0,6.0,1.0,11.0,6.0,5.0,3.0,19.0,24.0,21.0,24.0
297,883fef29-80d6-4628-a15c-fb812c170fa1,3027.0,5545c11c-ef1e-464b-8465-af687cd6ac1e,US/Pacific,US/Pacific,US/Eastern,79,53,0.0,0.0,59.0,48.0,29.0,20.0,49.2,41.7,20.0,18.0,9.0,6.0,45.0,33.3,18.0,12.0,12.0,7.0,66.7,58.3,39.0,21.0,13.0,8.0,10.0,5.0,6.0,3.0,8.0,14.0,15.0,18.0
298,be61604e-cdb4-44cf-a7e6-69119e69e1e9,4498.0,32e70ac7-27f7-4a28-92a4-8584180cf3ca,US/Mountain,US/Mountain,US/Central,79,68,0.0,0.0,55.0,66.0,23.0,28.0,41.8,42.4,33.0,25.0,10.0,7.0,30.3,28.0,34.0,5.0,23.0,5.0,67.6,100.0,45.0,31.0,14.0,9.0,5.0,8.0,1.0,2.0,20.0,17.0,14.0,27.0
299,cac4491c-b94e-4c3e-b023-3cf9bc0968e2,1022.0,9a280441-3d85-474a-b744-6619d5b47342,US/Pacific,US/Pacific,US/Pacific,79,81,0.0,0.0,63.0,55.0,31.0,28.0,49.2,50.9,27.0,14.0,11.0,5.0,40.7,35.7,10.0,29.0,6.0,20.0,60.0,69.0,29.0,37.0,13.0,13.0,7.0,6.0,1.0,2.0,12.0,15.0,21.0,19.0
300,f48d3cba-4fc2-4d1d-b511-3c908f0f8743,2076.0,d03346fb-8618-4ad7-bbd8-1554a003c472,US/Pacific,US/Pacific,US/Central,96,58,0.0,0.0,65.0,66.0,36.0,22.0,55.4,33.3,23.0,20.0,11.0,5.0,47.8,25.0,21.0,14.0,13.0,9.0,61.9,64.3,44.0,37.0,22.0,8.0,11.0,8.0,9.0,3.0,17.0,20.0,18.0,19.0
301,7dc7ce61-578d-44df-abf2-5d1799219be8,682.0,d6d410cc-784c-4f6f-8f4f-42277ab64e49,US/Eastern,US/Eastern,US/Eastern,83,71,0.0,0.0,53.0,51.0,28.0,23.0,52.8,45.1,24.0,19.0,13.0,7.0,54.2,36.8,18.0,22.0,14.0,18.0,77.8,81.8,33.0,28.0,13.0,8.0,4.0,5.0,2.0,2.0,8.0,8.0,14.0,15.0
302,ed7498d6-0ccb-48b2-8589-818037d5d46a,4830.0,0ebba23f-cab2-443c-834f-2f47083803ad,US/Eastern,US/Eastern,US/Eastern,70,66,0.0,0.0,60.0,60.0,24.0,24.0,40.0,40.0,24.0,29.0,9.0,11.0,37.5,37.9,19.0,10.0,13.0,7.0,68.4,70.0,39.0,40.0,10.0,11.0,8.0,7.0,5.0,0.0,13.0,17.0,16.0,21.0
303,93bab186-1870-491a-bfe1-1f3bd59eb948,742.0,07cdd9d3-9dd1-47fe-a7f3-35aeed44ee5f,US/Eastern,US/Eastern,,85,34,0.0,0.0,62.0,62.0,35.0,14.0,56.5,22.6,20.0,25.0,9.0,3.0,45.0,12.0,12.0,4.0,6.0,3.0,50.0,75.0,51.0,28.0,23.0,5.0,7.0,3.0,4.0,0.0,11.0,14.0,10.0,14.0
304,9f160acb-3b07-4dba-8898-6455dca9372c,121.0,8d4c5b0d-9028-4516-844d-251a8f16f49d,US/Pacific,US/Pacific,US/Pacific,61,54,0.0,0.0,61.0,42.0,22.0,19.0,36.1,45.2,16.0,12.0,4.0,4.0,25.0,33.3,15.0,17.0,13.0,12.0,86.7,70.6,39.0,29.0,12.0,9.0,7.0,4.0,2.0,4.0,8.0,16.0,15.0,15.0
305,c2173ba3-dfa2-420a-b91c-512e845eca3c,5213.0,b3dca541-859e-5301-bf90-4ec677a514a9,US/Eastern,US/Eastern,US/Central,93,85,0.0,0.0,64.0,70.0,34.0,31.0,53.1,44.3,14.0,21.0,5.0,5.0,35.7,23.8,28.0,21.0,20.0,18.0,71.4,85.7,35.0,39.0,14.0,19.0,10.0,11.0,4.0,4.0,19.0,22.0,17.0,27.0
306,325eaf33-91ab-44bf-9b4a-e6b32e234d53,1625.0,be3d2087-13cb-478f-a460-9955288df206,US/Mountain,US/Mountain,US/Eastern,75,71,0.0,0.0,53.0,57.0,25.0,19.0,47.2,33.3,23.0,26.0,8.0,8.0,34.8,30.8,25.0,30.0,17.0,25.0,68.0,83.3,39.0,35.0,16.0,9.0,4.0,6.0,4.0,2.0,13.0,8.0,23.0,24.0
307,bf298916-4607-4629-9716-a0ea71a5f227,300.0,f18c2342-0b46-40e2-adff-dd447d710d6f,US/Eastern,US/Eastern,,118,64,0.0,0.0,77.0,55.0,46.0,22.0,59.7,40.0,27.0,19.0,11.0,6.0,40.7,31.6,17.0,21.0,15.0,14.0,88.2,66.7,40.0,24.0,31.0,12.0,13.0,6.0,3.0,2.0,9.0,20.0,16.0,16.0
308,b04eefe7-5d13-499c-9dd1-070579cd7e9f,2363.0,f5b4c291-b7da-455f-8512-5c9d44248534,US/Eastern,US/Eastern,US/Eastern,85,75,0.0,0.0,49.0,64.0,27.0,28.0,55.1,43.8,21.0,29.0,8.0,9.0,38.1,31.0,29.0,16.0,23.0,10.0,79.3,62.5,39.0,22.0,18.0,21.0,3.0,10.0,4.0,4.0,14.0,6.0,17.0,20.0
309,b6130bac-0dde-4124-bcbf-27a9b984c59f,0.0,ebab996a-c80b-429c-a415-1b23075c2cc5,US/Eastern,US/Eastern,US/Central,55,81,0.0,3.0,54.0,65.0,16.0,33.0,29.6,50.8,24.0,26.0,5.0,5.0,20.8,19.2,27.0,16.0,18.0,10.0,66.7,62.5,40.0,41.0,3.0,17.0,6.0,9.0,1.0,6.0,16.0,9.0,19.0,22.0
310,5bc326e3-ee46-4492-b0b8-48a4c69ff30f,9156.0,0d1fc5bc-9f37-4f19-af35-c081088ae93d,US/Eastern,US/Eastern,US/Eastern,86,57,0.0,0.0,55.0,53.0,31.0,18.0,56.4,34.0,21.0,12.0,10.0,2.0,47.6,16.7,26.0,24.0,14.0,19.0,53.8,79.2,41.0,29.0,17.0,6.0,4.0,8.0,3.0,1.0,14.0,13.0,18.0,22.0
311,c58bac8d-dbd4-4853-a284-90ffc1e7bc2e,565.0,72fd6b05-7cea-425c-8273-10fc41d5ebbf,US/Eastern,US/Eastern,US/Central,61,75,0.0,0.0,49.0,64.0,23.0,29.0,46.9,45.3,18.0,17.0,5.0,6.0,27.8,35.3,17.0,17.0,10.0,11.0,58.8,64.7,27.0,31.0,12.0,8.0,3.0,7.0,6.0,0.0,15.0,9.0,14.0,16.0
312,a2b893f7-d645-432e-9f89-aae0b2bd23fd,2240.0,5cfb3d90-97ba-4974-ad4b-ced2ccdce43a,US/Eastern,US/Eastern,,86,65,0.0,0.0,60.0,54.0,32.0,23.0,53.3,42.6,33.0,24.0,14.0,11.0,42.4,45.8,11.0,10.0,8.0,8.0,72.7,80.0,39.0,22.0,22.0,12.0,7.0,6.0,4.0,0.0,9.0,10.0,9.0,15.0
313,521cb76e-a5fd-400c-96c0-9a1e145eb6d8,3572.0,ca3c913f-79ca-4b47-929f-3ab5c74db6d6,US/Pacific,US/Pacific,US/Eastern,64,63,2.0,0.0,55.0,52.0,23.0,21.0,41.8,40.4,18.0,16.0,4.0,3.0,22.2,18.8,22.0,28.0,14.0,18.0,63.6,64.3,40.0,32.0,8.0,11.0,11.0,9.0,7.0,1.0,18.0,16.0,22.0,22.0
314,c973b960-e324-4025-ba35-f36c010e6bd9,9314.0,c134cdf8-d1c8-4972-b4f2-8f167261eb50,US/Eastern,US/Eastern,US/Eastern,84,38,7.0,0.0,68.0,54.0,30.0,15.0,44.1,27.8,21.0,23.0,7.0,7.0,33.3,30.4,26.0,2.0,17.0,1.0,65.4,50.0,52.0,27.0,16.0,6.0,15.0,6.0,7.0,6.0,13.0,23.0,12.0,21.0
315,0bfcefc1-f08d-418d-9732-74c5946f48a3,1527.0,7fd64804-c10e-487d-b6de-3774bc91507e,US/Central,US/Central,,107,56,0.0,0.0,72.0,62.0,41.0,19.0,56.9,30.6,28.0,23.0,14.0,8.0,50.0,34.8,16.0,22.0,11.0,10.0,68.8,45.5,54.0,28.0,21.0,11.0,10.0,7.0,3.0,1.0,14.0,17.0,18.0,11.0
316,a12a1244-95a7-4115-a567-2f1b36d9399d,3607.0,bf0a9070-8049-41c9-9a4e-dfa0dcf6ad07,US/Pacific,US/Pacific,US/Central,54,63,0.0,0.0,47.0,57.0,19.0,21.0,40.4,36.8,18.0,19.0,5.0,5.0,27.8,26.3,19.0,18.0,11.0,16.0,57.9,88.9,35.0,35.0,9.0,9.0,6.0,10.0,6.0,5.0,22.0,15.0,19.0,18.0
317,01b05fa7-dc31-4e8c-a366-c29a0271674d,729.0,642adf20-db5a-4f54-a31c-76ab0dc26b34,US/Eastern,US/Eastern,,90,45,0.0,0.0,66.0,55.0,37.0,16.0,56.1,29.1,21.0,22.0,5.0,7.0,23.8,31.8,12.0,7.0,11.0,6.0,91.7,85.7,43.0,25.0,22.0,9.0,17.0,6.0,3.0,2.0,10.0,20.0,11.0,8.0
318,99d864bb-cdd1-48f2-903f-3425977f5fb4,5974.0,90777d6e-cc3b-4fdd-8801-f20e07bf8a60,US/Central,US/Central,US/Eastern,80,67,0.0,0.0,59.0,62.0,30.0,26.0,50.8,41.9,15.0,21.0,6.0,8.0,40.0,38.1,21.0,12.0,14.0,7.0,66.7,58.3,40.0,31.0,15.0,16.0,8.0,4.0,3.0,2.0,10.0,12.0,15.0,15.0
319,973c2a7a-7d52-4ce8-b3e9-3cb1fdee54e5,688.0,b756945a-1b32-4148-a6ed-f2aea43afec9,US/Eastern,US/Eastern,US/Eastern,70,89,0.0,0.0,53.0,59.0,25.0,31.0,47.2,52.5,28.0,15.0,10.0,5.0,35.7,33.3,24.0,33.0,10.0,22.0,41.7,66.7,32.0,37.0,15.0,9.0,6.0,14.0,4.0,5.0,23.0,14.0,26.0,17.0
