,game_id,date,home_team,away_team,capacity,venue_id,home_id,away_id,home_rank,away_rank
25,c23498fb-3c86-46d3-8be8-9587101228e7,2023-11-21,Detroit Mercy Titans,Eastern Michigan Eagles,8295.0,752d75a9-1391-4fad-adac-ea4cf6ce7ae8,1b78e7f6-f25c-4921-98e2-9bc565f8dfb4,2ed86226-3fff-4083-90fa-6b02307e6f73,,
26,7a33e539-da3f-43b2-9d4e-27dc4b9b6428,2023-11-21,Campbell Fighting Camels,Idaho State Bengals,3095.0,7b69a82f-38a9-4976-860b-bda2d1861d5f,6e5dfe2c-28cc-411f-b846-af8436093ab2,6a67ba19-56a8-4dd8-a5ae-9e9f2523c274,0.0,0.0
27,e2f29ca9-6fa7-4344-8658-e9516c6528f3,2023-11-21,Monmouth Hawks,Lehigh Mountain Hawks,4100.0,23e75afd-3b2a-47ae-a65b-b09b2f6804be,3db7336c-c18a-441b-912e-e2a4408f12ea,508f503f-dc57-4f4c-a01e-4f195e5c05c8,,
28,afc2377f-e712-4592-9e8e-bada8b735444,2023-11-21,New Hampshire Wildcats,Marist Red Foxes,3000.0,d6d410cc-784c-4f6f-8f4f-42277ab64e49,93cb009e-5bbf-4081-b2c9-44028fe28096,15d31915-fbd6-4ae3-8e4b-f3b563c56a18,,
29,a64aea8e-bfe4-4635-850a-1291a5018cf1,2023-11-21,Albany Great Danes,Army Black Knights,4794.0,caf2512f-f422-4de6-9e8f-cd4f33a67564,290a5130-836d-45e6-824f-28704d6ba246,6dfaf0ba-47c4-4e05-b0a7-72734747d48f,,
30,0a987ae8-617c-45a8-8762-db4a0b024613,2023-11-21,Duke Blue Devils,La Salle Explorers,9314.0,c134cdf8-d1c8-4972-b4f2-8f167261eb50,faeb1160-5d15-4f26-99fc-c441cf21fc7f,ad9a3e21-4585-4e35-8946-290fe4a16f18,9.0,0.0
31,109b21be-7036-4b85-8ed3-c0154d6c9bd2,2023-11-21,Davidson Wildcats,Boston University Terriers,5295.0,32433265-e022-4be1-bcd5-5883fe3155e9,2920c5fa-1e86-4958-a7c4-1e97b8e201d8,de9a0e19-b83c-4b98-a6da-81c110cb364b,0.0,0.0
32,1b1922bb-55b3-4840-b0bd-d693a98b35b1,2023-11-21,Columbia Lions,LIU Sharks,2500.0,e30178c1-fbfc-47e0-92f7-37855cb3a81b,ca74bd67-034c-4468-8487-6f983f5eb4f6,b5a804f1-19a4-4183-ab05-43e309e65a5a,0.0,0.0
33,4e603c53-cdf7-4d97-81fe-42602c216d5b,2023-11-21,Maryland Terrapins,UMBC Retrievers,17950.0,0b2f6987-6c44-456a-b8f9-69daf8c72909,2778d005-cc14-4e58-9bf2-3fc37bffb62f,32755362-6336-4dd3-ac34-6f72a6cc150b,,
34,1edf30f1-e4e8-4965-8e68-3942a273a5e1,2023-11-21,Ball State Cardinals,USC Upstate Spartans,11500.0,32d6bdb0-2dda-4915-ba43-442c24616ca5,315c4deb-3c9d-413d-a369-7168f2545d21,2e78bd1b-9422-491e-9c73-37cf83b0e34e,0.0,0.0
